Block Size,Quick Sort
100,7
200,15
300,24
400,36
500,49
600,67
700,101
800,122
900,137
1000,159
1100,225
1200,241
1300,282
1400,313
1500,369
1600,377
1700,433
1800,447
1900,487
2000,529
2100,582
2200,629
2300,686
2400,774
2500,793
2600,880
2700,933
2800,1093
2900,1079
3000,1179
3100,1224
3200,1296
3300,1352
3400,1435
3500,1506
3600,1737
3700,1817
3800,1745
3900,1860
4000,1908
4100,2063
4200,2328
4300,2244
4400,2305
4500,2386
4600,2549
4700,2878
4800,2712
4900,2800
5000,2985
5100,3388
5200,3187
5300,3234
5400,3479
5500,3817
5600,3615
5700,3872
5800,4283
5900,4007
6000,4195
6100,4504
6200,4417
6300,4649
6400,4916
6500,5505
6600,5798
6700,5889
6800,6147
6900,6402
7000,6045
7100,6078
7200,5862
7300,6371
7400,6236
7500,7201
7600,6747
7700,6996
7800,7083
7900,7034
8000,7544
8100,7539
8200,7895
8300,8342
8400,7949
8500,8725
8600,9006
8700,8857
8800,9007
8900,9264
9000,9195
9100,9431
9200,9833
9300,10213
9400,10236
9500,10132
9600,10433
9700,11093
9800,11428
9900,14139
10000,13498
10100,14249
10200,14756
10300,15427
10400,16163
10500,17158
10600,17242
10700,18030
10800,18933
10900,19720
11000,21214
11100,22950
11200,22828
11300,25050
11400,26016
11500,25820
11600,26423
11700,27021
11800,28578
11900,28509
12000,31059
12100,31464
12200,33149
12300,33716
12400,35438
12500,34891
12600,37040
12700,38889
12800,38830
12900,40963
13000,42853
13100,43335
13200,44354
13300,44921
13400,45815
13500,47457
13600,47942
13700,49407
13800,51896
13900,51710
14000,53130
14100,54365
14200,55826
14300,58240
14400,62947
14500,68699
14600,67147
14700,64767
14800,67438
14900,70696
15000,70636
15100,73915
15200,76569
15300,78971
15400,77409
15500,78659
15600,83732
15700,79703
15800,82594
15900,88420
16000,86568
16100,86656
16200,88087
16300,90728
16400,93622
16500,96047
16600,96103
16700,97454
16800,99559
16900,102005
17000,103663
17100,105643
17200,108450
17300,109322
17400,111562
17500,113256
17600,117416
17700,118003
17800,120595
17900,122301
18000,122672
18100,128228
18200,133685
18300,132531
18400,136056
18500,135543
18600,137799
18700,140211
18800,141836
18900,143938
19000,146756
19100,151850
19200,149185
19300,169716
19400,158416
19500,155989
19600,160536
19700,162793
19800,164498
19900,164558
20000,167210
20100,169575
20200,171502
20300,175836
20400,179115
20500,181376
20600,182243
20700,184348
20800,186952
20900,191602
21000,192051
21100,195348
21200,200032
21300,207046
21400,205290
21500,207978
21600,210141
21700,212499
21800,215400
21900,219666
22000,221162
22100,223599
22200,226358
22300,229467
22400,231930
22500,234841
22600,238756
22700,241152
22800,243985
22900,246881
23000,249876
23100,252411
23200,255784
23300,258110
23400,261694
23500,273064
23600,293460
23700,271644
23800,275355
23900,276157
24000,278804
24100,282551
24200,285047
24300,288561
24400,293149
24500,296881
24600,300017
24700,302569
24800,306968
24900,309230
25000,313808
25100,322726
25200,324756
25300,330673
25400,365227
25500,423525
25600,336790
25700,336661
25800,352506
25900,345874
26000,365774
26100,349931
26200,354369
26300,399820
26400,367117
26500,373891
26600,374959
26700,375561
26800,375067
26900,381523
27000,383621
27100,392220
27200,391487
27300,394939
27400,421243
27500,403635
27600,497661
27700,448724
27800,414351
27900,416551
28000,420984
28100,424535
28200,427934
28300,432312
28400,440643
28500,440566
28600,450894
28700,449971
28800,453193
28900,456246
29000,460401
29100,466430
29200,468974
29300,472988
29400,480351
29500,481792
29600,487213
29700,497234
29800,508060
29900,505278
30000,503690
30100,506906
30200,512252
30300,515301
30400,519860
30500,526808
30600,528639
30700,534280
30800,541058
30900,543695
31000,549013
31100,556271
31200,558920
31300,572244
31400,605726
31500,587716
31600,608309
31700,588995
31800,600490
31900,604126
32000,611471
32100,616652
32200,644877
32300,638801
32400,617568
32500,617587
32600,642148
32700,648992
32800,640008
32900,644692
33000,650668
33100,645747
33200,647515
33300,648797
33400,653939
33500,695812
33600,663003
33700,666172
33800,661530
33900,676822
34000,676503
34100,672427
34200,701076
34300,678218
34400,680936
34500,682691
34600,685774
34700,687599
34800,690110
34900,694336
35000,695816
35100,698635
35200,709265
35300,715466
35400,718159
35500,715056
35600,728363
35700,789271
35800,721040
35900,729348
36000,731596
36100,730849
36200,747775
36300,754532
36400,740828
36500,747503
36600,755359
36700,759521
36800,755022
36900,757667
37000,771077
37100,783539
37200,774049
37300,809388
37400,795614
37500,776919
37600,823496
37700,804199
37800,794313
37900,792075
38000,793361
38100,796994
38200,811715
38300,804216
38400,804871
38500,810367
38600,815632
38700,818928
38800,822358
38900,851208
39000,825390
39100,827627
39200,836195
39300,872691
39400,840460
39500,893968
39600,857522
39700,866747
39800,871302
39900,931131
40000,891874
40100,862079
40200,885240
40300,896426
40400,888123
40500,888121
40600,880261
40700,910972
40800,894436
40900,888717
41000,895726
41100,898575
41200,908917
41300,919803
41400,941279
41500,913318
41600,916089
41700,917217
41800,920555
41900,925984
42000,929599
42100,941358
42200,942750
42300,948663
42400,997271
42500,1038998
42600,1050735
42700,975740
42800,965849
42900,963320
43000,995439
43100,971334
43200,973936
43300,982524
43400,986675
43500,1008699
43600,992093
43700,1008930
43800,1016574
43900,1002346
44000,1002233
44100,1007957
44200,1021091
44300,1033918
44400,1022319
44500,1024328
44600,1030887
44700,1033146
44800,1039583
44900,1053067
45000,1072437
45100,1064050
45200,1069852
45300,1074496
45400,1063663
45500,1085230
45600,1068712
45700,1086116
45800,1097991
45900,1129284
46000,1103215
46100,1093490
46200,1120252
46300,1105242
46400,1101911
46500,1104975
46600,1109625
46700,1113004
46800,1115530
46900,1115785
47000,1119601
47100,1123836
47200,1128322
47300,1133973
47400,1140321
47500,1145356
47600,1147694
47700,1147862
47800,1152149
47900,1157392
48000,1159730
48100,1164270
48200,1170279
48300,1182801
48400,1230378
48500,1178661
48600,1184312
48700,1187220
48800,1193154
48900,1194511
49000,1200343
49100,1210834
49200,1215489
49300,1218691
49400,1220491
49500,1222152
49600,1226692
49700,1231826
49800,1237648
49900,1238193
50000,1240406
50100,1246752
50200,1251449
50300,1256031
50400,1258207
50500,1264406
50600,1266261
50700,1269311
50800,1278439
50900,1279167
51000,1284139
51100,1286696
51200,1291918
51300,1294980
51400,1300300
51500,1303659
51600,1307076
51700,1313287
51800,1318330
51900,1320301
52000,1326607
52100,1331147
52200,1335986
52300,1338842
52400,1344324
52500,1349775
52600,1353503
52700,1358326
52800,1361695
52900,1370109
53000,1373364
53100,1377070
53200,1382246
53300,1384365
53400,1390761
53500,1394851
53600,1398069
53700,1404080
53800,1412021
53900,1413295
54000,1427352
54100,1423625
54200,1428165
54300,1431074
54400,1440855
54500,1439117
54600,1445320
54700,1448668
54800,1452140
54900,1513791
55000,1501044
55100,1487022
55200,1481483
55300,1490152
55400,1489037
55500,1488976
55600,1493857
55700,1499268
55800,1502521
55900,1511332
56000,1512655
56100,1517367
56200,1525953
56300,1533483
56400,1537476
56500,1539846
56600,1540437
56700,1546667
56800,1551517
56900,1558686
57000,1562522
57100,1568037
57200,1572161
57300,1576025
57400,1586079
57500,1602346
57600,1599930
57700,1601133
57800,1609695
57900,1612147
58000,1613454
58100,1613354
58200,1618207
58300,1623244
58400,1628604
58500,1634085
58600,1638486
58700,1650832
58800,1647449
58900,1660294
59000,1681208
59100,1669273
59200,1667889
59300,1674351
59400,1678922
59500,1684060
59600,1695535
59700,1699238
59800,1700977
59900,1707381
60000,1706490
60100,1727029
60200,1717141
60300,1729155
60400,1733507
60500,1739429
60600,1745166
60700,1742970
60800,1747315
60900,1752884
61000,1759232
61100,1763073
61200,1768209
61300,1775159
61400,1780151
61500,1783252
61600,1788126
61700,1793547
61800,1798822
61900,1804716
62000,1809455
62100,1815430
62200,1821139
62300,1828915
62400,1831612
62500,1836028
62600,1840442
62700,1845600
62800,1850981
62900,1856691
63000,1864031
63100,1866525
63200,1872497
63300,1878743
63400,1883005
63500,1888222
63600,1894034
63700,1901503
63800,1905661
63900,1910167
64000,1914883
64100,1921142
64200,1925443
64300,1931043
64400,1937320
64500,1944582
64600,1950814
64700,1953107
64800,1957529
64900,1963052
65000,1968490
65100,1974034
65200,1979627
65300,1993111
65400,1989906
65500,1995323
65600,2001097
65700,2006428
65800,2011873
65900,2017372
66000,2023157
66100,2029556
66200,2034043
66300,2039535
66400,2046049
66500,2057563
66600,2056386
66700,2066098
66800,2080217
66900,2081712
67000,2086866
67100,2084128
67200,2090254
67300,2099923
67400,2108619
67500,2104898
67600,2111833
67700,2114577
67800,2121730
67900,2126629
68000,2133453
68100,2140623
68200,2142859
68300,2147864
68400,2152724
68500,2158234
68600,2163661
68700,2170933
68800,2174930
68900,2180276
69000,2185957
69100,2191867
69200,2198117
69300,2204994
69400,2210336
69500,2218192
69600,2219883
69700,2225951
69800,2234179
69900,2239787
70000,2248291
70100,2250496
70200,2270110
70300,2264187
70400,2268062
70500,2277820
70600,2280426
70700,2290479
70800,2292614
70900,2296869
71000,2303323
71100,2309793
71200,2314046
71300,2321729
71400,2326454
71500,2332177
71600,2338077
71700,2343801
71800,2349689
71900,2355685
72000,2365418
72100,2369334
72200,2375936
72300,2383433
72400,2387277
72500,2394880
72600,2402224
72700,2404805
72800,2411965
72900,2420761
73000,2421511
73100,2428691
73200,2435592
73300,2440510
73400,2446799
73500,2452552
73600,2458537
73700,2466118
73800,2471379
73900,2476525
74000,2482294
74100,2488743
74200,2494676
74300,2502103
74400,2509612
74500,2515525
74600,2567380
74700,2569874
74800,2547348
74900,2618318
75000,2548945
75100,2554463
75200,2560067
75300,2567583
75400,2571909
75500,2578030
75600,2584215
75700,2588362
75800,2595791
75900,2602993
76000,2607723
76100,2629520
76200,2632849
76300,2655606
76400,2695792
76500,2717245
76600,2666858
76700,2681663
76800,2663100
76900,2665272
77000,2671891
77100,2681096
77200,2687595
77300,2692133
77400,2696738
77500,2704163
77600,2710052
77700,2717434
77800,2725095
77900,2730265
78000,2737033
78100,2743928
78200,2752262
78300,2759951
78400,2762818
78500,2769715
78600,2791053
78700,2784501
78800,2790392
78900,2797102
79000,2802904
79100,2809012
79200,2815860
79300,2825630
79400,2831626
79500,2836471
79600,2842011
79700,2856442
79800,2855350
79900,2861450
80000,2865987
80100,2875230
80200,2882526
80300,2888593
80400,2893149
80500,2902696
80600,2906324
80700,2915776
80800,2924964
80900,2928974
81000,2933530
81100,2940649
81200,2946131
81300,2993390
81400,2959955
81500,2965223
81600,2971596
81700,2977512
81800,2988774
81900,2997468
82000,2998397
82100,3006151
82200,3011248
82300,3021908
82400,3025541
82500,3033057
82600,3038149
82700,3046197
82800,3074045
82900,3063837
83000,3071586
83100,3074186
83200,3082387
83300,3091104
83400,3095312
83500,3101518
83600,3109139
83700,3122232
83800,3122762
83900,3129075
84000,3135324
84100,3142288
84200,3150309
84300,3156493
84400,3165342
84500,3170396
84600,3177517
84700,3186271
84800,3194283
84900,3198780
85000,3206283
85100,3216657
85200,3219907
85300,3227121
85400,3234616
85500,3244236
85600,3252423
85700,3256076
85800,3262415
85900,3268687
86000,3277482
86100,3284570
86200,3293856
86300,3400949
86400,3310766
86500,3319013
86600,3327960
86700,3334533
86800,3341983
86900,3351254
87000,3350841
87100,3364541
87200,3368376
87300,3391580
87400,3385162
87500,3390631
87600,3396399
87700,3404159
87800,3413180
87900,3428528
88000,3425324
88100,3495902
88200,3447580
88300,3454705
88400,3454409
88500,3460564
88600,3470645
88700,3475673
88800,3480444
88900,3487422
89000,3500046
89100,3510073
89200,3512978
89300,3521841
89400,3530075
89500,3538623
89600,3543100
89700,3549691
89800,3559366
89900,3567344
90000,3577177
90100,3578758
