Number, Time (Divide & Conquer), Time (Naive), Min, Max
10, 0.000000, 0.000000, 41, 29358
20, 0.000000, 0.000000, 41, 29358
30, 0.000000, 0.000000, 41, 32391
40, 0.000000, 0.000000, 41, 32391
50, 0.000000, 0.000000, 41, 32391
60, 0.000000, 0.000000, 41, 32757
70, 0.000000, 0.000000, 41, 32757
80, 0.000000, 0.000000, 41, 32757
90, 0.000000, 0.000000, 41, 32757
100, 0.000000, 0.000000, 41, 32757
110, 0.000000, 0.000000, 41, 32757
120, 0.000000, 0.000000, 41, 32757
130, 0.000000, 0.000000, 41, 32757
140, 0.000000, 0.000000, 41, 32757
150, 0.000000, 0.000000, 41, 32757
160, 0.000000, 0.000000, 41, 32757
170, 0.000000, 0.000000, 41, 32757
180, 0.000000, 0.000000, 41, 32757
190, 0.000000, 0.000000, 41, 32757
200, 0.000000, 0.000000, 41, 32757
210, 0.000000, 0.000000, 41, 32757
220, 0.000000, 0.000000, 41, 32757
230, 0.000000, 0.000000, 41, 32757
240, 0.000000, 0.000000, 41, 32757
250, 0.000000, 0.000000, 41, 32757
260, 0.000000, 0.000000, 41, 32757
270, 0.000000, 0.000000, 41, 32757
280, 0.000000, 0.000000, 41, 32757
290, 0.000000, 0.000000, 41, 32757
300, 0.000000, 0.000000, 41, 32757
310, 0.000000, 0.000000, 41, 32757
320, 0.000000, 0.000000, 41, 32757
330, 0.000000, 0.000000, 41, 32757
340, 0.000000, 0.000000, 41, 32757
350, 0.000000, 0.000000, 41, 32757
360, 0.000000, 0.000000, 41, 32757
370, 0.000000, 0.000000, 41, 32757
380, 0.000000, 0.000000, 41, 32757
390, 0.000000, 0.000000, 41, 32757
400, 0.000000, 0.000000, 41, 32757
410, 0.000000, 0.000000, 41, 32757
420, 0.000000, 0.000000, 41, 32757
430, 0.000000, 0.000000, 41, 32757
440, 0.000000, 0.000000, 41, 32757
450, 0.000000, 0.000000, 41, 32757
460, 0.000000, 0.000000, 41, 32757
470, 0.000000, 0.000000, 41, 32757
480, 0.000000, 0.000000, 41, 32757
490, 0.000000, 0.000000, 41, 32757
500, 0.000000, 0.000000, 41, 32757
510, 0.000000, 0.000000, 41, 32757
520, 0.000000, 0.000000, 41, 32757
530, 0.000000, 0.000000, 41, 32757
540, 0.000000, 0.000000, 41, 32757
550, 0.000000, 0.000000, 41, 32757
560, 0.000000, 0.000000, 41, 32757
570, 0.000000, 0.000000, 41, 32757
580, 0.000000, 0.000000, 41, 32757
590, 0.000000, 0.000000, 41, 32757
600, 0.000000, 0.000000, 41, 32757
610, 0.000000, 0.000000, 41, 32757
620, 0.000000, 0.000000, 41, 32757
630, 0.000000, 0.000000, 41, 32757
640, 0.000000, 0.000000, 41, 32757
650, 0.000000, 0.000000, 41, 32757
660, 0.000000, 0.000000, 41, 32757
670, 0.000000, 0.000000, 41, 32757
680, 0.000000, 0.000000, 41, 32757
690, 0.000000, 0.000000, 41, 32757
700, 0.000000, 0.000000, 41, 32757
710, 0.000000, 0.000000, 41, 32757
720, 0.000000, 0.000000, 41, 32757
730, 0.000000, 0.000000, 41, 32757
