Number, Time (Divide & Conquer), Time (Naive), Min, Max
100, 0.000000, 0.000000, 41, 32757
200, 0.000000, 0.000000, 41, 32757
300, 0.000000, 0.000000, 41, 32757
400, 0.000000, 0.000000, 41, 32757
500, 0.000000, 0.000000, 41, 32757
600, 0.000000, 0.000000, 41, 32757
700, 0.000000, 0.000000, 41, 32757
800, 0.000000, 0.000000, 28, 32757
900, 0.000000, 0.000000, 28, 32757
1000, 0.000000, 0.000000, 28, 32757
1100, 0.000000, 0.000000, 28, 32757
1200, 0.000000, 0.000000, 28, 32757
1300, 0.000000, 0.000000, 28, 32757
1400, 0.000000, 0.000000, 28, 32757
1500, 0.000000, 0.000000, 28, 32757
1600, 0.000000, 0.000000, 28, 32757
1700, 0.000000, 0.000000, 28, 32757
1800, 0.000000, 0.000000, 28, 32757
1900, 0.001000, 0.000000, 21, 32757
2000, 0.000000, 0.000000, 21, 32757
2100, 0.000000, 0.000000, 21, 32757
2200, 0.000000, 0.000000, 21, 32757
2300, 0.000000, 0.000000, 21, 32757
2400, 0.000000, 0.000000, 21, 32765
2500, 0.000000, 0.000000, 21, 32765
2600, 0.000000, 0.000000, 21, 32765
2700, 0.000000, 0.000000, 21, 32765
2800, 0.000000, 0.000000, 21, 32765
2900, 0.000000, 0.000000, 21, 32765
3000, 0.000000, 0.000000, 21, 32765
3100, 0.000000, 0.000000, 21, 32765
3200, 0.000000, 0.000000, 21, 32765
3300, 0.000000, 0.000000, 21, 32765
3400, 0.000000, 0.000000, 21, 32765
3500, 0.000000, 0.000000, 21, 32765
3600, 0.000000, 0.000000, 21, 32765
3700, 0.000000, 0.000000, 21, 32765
3800, 0.000000, 0.000000, 21, 32765
3900, 0.000000, 0.000000, 21, 32765
4000, 0.000000, 0.000000, 21, 32765
4100, 0.000000, 0.000000, 21, 32765
4200, 0.001000, 0.000000, 21, 32765
4300, 0.000000, 0.000000, 21, 32765
4400, 0.000000, 0.000000, 21, 32765
4500, 0.000000, 0.000000, 21, 32765
4600, 0.000000, 0.000000, 21, 32765
4700, 0.000000, 0.000000, 8, 32765
4800, 0.000000, 0.000000, 8, 32765
4900, 0.000000, 0.000000, 8, 32765
5000, 0.000000, 0.000000, 8, 32765
5100, 0.000000, 0.000000, 8, 32765
5200, 0.000000, 0.000000, 8, 32765
5300, 0.000000, 0.000000, 8, 32765
5400, 0.000000, 0.000000, 8, 32765
5500, 0.000000, 0.000000, 8, 32765
5600, 0.000000, 0.000000, 8, 32765
5700, 0.000000, 0.000000, 8, 32765
5800, 0.000000, 0.000000, 8, 32765
5900, 0.001000, 0.000000, 8, 32765
6000, 0.000000, 0.000000, 8, 32765
6100, 0.000000, 0.000000, 8, 32765
6200, 0.000000, 0.000000, 8, 32765
6300, 0.000000, 0.000000, 8, 32765
6400, 0.000000, 0.000000, 8, 32765
6500, 0.000000, 0.000000, 3, 32765
6600, 0.000000, 0.000000, 3, 32765
6700, 0.000000, 0.000000, 3, 32765
6800, 0.000000, 0.000000, 3, 32765
6900, 0.000000, 0.000000, 3, 32765
7000, 0.000000, 0.000000, 3, 32765
7100, 0.000000, 0.000000, 3, 32765
7200, 0.000000, 0.000000, 3, 32765
7300, 0.000000, 0.000000, 3, 32765
7400, 0.000000, 0.000000, 3, 32765
7500, 0.000000, 0.000000, 3, 32765
7600, 0.000000, 0.000000, 3, 32765
7700, 0.000000, 0.000000, 3, 32765
7800, 0.001000, 0.000000, 3, 32765
7900, 0.000000, 0.000000, 3, 32765
8000, 0.000000, 0.000000, 3, 32765
8100, 0.000000, 0.000000, 3, 32765
8200, 0.000000, 0.000000, 3, 32765
8300, 0.000000, 0.000000, 3, 32765
8400, 0.000000, 0.000000, 3, 32765
8500, 0.000000, 0.000000, 3, 32765
8600, 0.000000, 0.000000, 3, 32765
8700, 0.000000, 0.000000, 3, 32765
8800, 0.000000, 0.000000, 3, 32765
8900, 0.000000, 0.000000, 3, 32765
9000, 0.000000, 0.000000, 3, 32765
9100, 0.001000, 0.000000, 3, 32765
9200, 0.000000, 0.000000, 3, 32765
9300, 0.000000, 0.000000, 3, 32765
9400, 0.000000, 0.000000, 3, 32765
9500, 0.000000, 0.000000, 3, 32765
9600, 0.000000, 0.000000, 3, 32765
9700, 0.000000, 0.000000, 3, 32765
9800, 0.000000, 0.000000, 3, 32765
9900, 0.000000, 0.000000, 3, 32765
10000, 0.000000, 0.000000, 3, 32765
10100, 0.000000, 0.000000, 3, 32765
10200, 0.000000, 0.000000, 3, 32765
10300, 0.000000, 0.000000, 3, 32765
10400, 0.001000, 0.000000, 3, 32765
10500, 0.000000, 0.000000, 3, 32765
10600, 0.000000, 0.000000, 3, 32765
10700, 0.000000, 0.000000, 3, 32765
10800, 0.000000, 0.000000, 3, 32765
10900, 0.000000, 0.000000, 3, 32765
11000, 0.000000, 0.001000, 3, 32765
11100, 0.000000, 0.000000, 3, 32765
11200, 0.000000, 0.000000, 3, 32765
11300, 0.000000, 0.000000, 3, 32765
11400, 0.000000, 0.000000, 3, 32765
11500, 0.000000, 0.000000, 3, 32765
11600, 0.000000, 0.000000, 3, 32765
11700, 0.000000, 0.000000, 3, 32765
11800, 0.002000, 0.000000, 3, 32765
11900, 0.000000, 0.000000, 1, 32765
12000, 0.000000, 0.000000, 1, 32765
12100, 0.000000, 0.001000, 1, 32765
12200, 0.000000, 0.000000, 1, 32765
12300, 0.000000, 0.000000, 1, 32765
12400, 0.000000, 0.000000, 1, 32765
12500, 0.000000, 0.000000, 1, 32765
12600, 0.000000, 0.000000, 1, 32765
12700, 0.000000, 0.000000, 1, 32765
12800, 0.000000, 0.000000, 1, 32765
12900, 0.000000, 0.000000, 1, 32765
13000, 0.000000, 0.000000, 1, 32765
13100, 0.000000, 0.000000, 1, 32765
13200, 0.000000, 0.000000, 1, 32765
13300, 0.001000, 0.000000, 1, 32765
13400, 0.000000, 0.000000, 1, 32765
13500, 0.000000, 0.000000, 1, 32765
13600, 0.001000, 0.000000, 1, 32765
13700, 0.000000, 0.000000, 1, 32765
13800, 0.000000, 0.000000, 1, 32765
13900, 0.000000, 0.000000, 1, 32765
14000, 0.001000, 0.000000, 1, 32765
14100, 0.000000, 0.000000, 1, 32765
14200, 0.000000, 0.000000, 1, 32765
